schoolid classid childid sex mathkind mathgain ses housepov yearstea
27 104 307 0 515 30 1.02 0.05 9
27 104 308 0 505 48 1.14 0.05 9
27 104 309 0 440 44 0.51 0.05 9
27 104 310 0 454 25 -0.63 0.05 9
27 104 311 0 520 69 0.36 0.05 9
27 104 312 1 542 138 2.27 0.05 9
27 190 313 1 498 81 0.52 0.05 6
27 190 314 1 495 41 -0.39 0.05 6
27 190 315 0 491 54 -0.18 0.05 6
27 190 316 1 499 88 -0.38 0.05 6
27 190 317 1 450 56 -0.2 0.05 6
27 190 318 0 471 82 -0.06 0.05 6
27 190 319 1 497 78 0.45 0.05 6
27 190 320 0 568 19 1.28 0.05 6
27 230 321 0 509 24 0.63 0.05 12
27 230 322 1 544 3 0.02 0.05 12
27 262 323 0 536 42 -0.01 0.05 3
27 262 324 0 510 67 0.29 0.05 3
27 262 325 1 408 76 0.8 0.05 3
27 262 326 0 471 54 0.05 0.05 3
27 262 327 1 513 113 2.18 0.05 3
28 114 328 0 544 -5 0.4 0.214 26
28 114 329 1 464 33 -1.45 0.214 26
28 114 330 1 467 47 -1.1 0.214 26
28 114 331 0 397 50 0 0.214 26
28 118 332 0 414 71 0.36 0.214 5
28 202 333 0 511 11 -0.95 0.214 27
28 202 334 0 524 2 0.22 0.214 27
28 202 335 1 454 10 -0.67 0.214 27
28 203 336 1 478 49 0.22 0.214 15
28 203 337 1 290 197 -0.46 0.214 15
29 115 338 1 493 39 0.45 0.102 19
29 115 339 1 483 89 -0.06 0.102 19
29 115 340 0 490 56 -0.72 0.102 19
29 115 341 1 489 34 -0.85 0.102 19
29 223 342 1 505 17 -0.05 0.102 10
29 223 343 0 452 87 1.04 0.102 10
29 223 344 1 536 -7 -0.35 0.102 10
29 223 345 1 537 42 -0.72 0.102 10
30 175 346 0 475 13 0.83 0.085 2
30 175 347 1 451 29 -0.1 0.085 2
30 175 348 0 401 41 -0.37 0.085 2
31 51 349 1 497 -2 -0.05 0.012 14
31 51 350 0 406 64 -0.35 0.012 14
31 51 351 0 460 41 -0.05 0.012 14
31 51 352 1 432 18 -0.48 0.012 14
31 51 353 1 414 61 -0.78 0.012 14
31 51 354 0 370 91 -0.8 0.012 14
31 156 355 0 405 94 -0.25 0.012 8
31 156 356 0 454 31 0.02 0.012 8
31 156 357 0 454 55 0.25 0.012 8
31 156 358 1 471 14 -0.72 0.012 8
31 156 359 1 463 43 -0.23 0.012 8
31 156 360 1 448 70 1.06 0.012 8
31 234 361 0 480 76 -0.88 0.012 12
31 234 362 1 467 25 -0.12 0.012 12
31 234 363 1 495 45 -0.38 0.012 12
31 234 364 1 451 44 1.34 0.012 12
31 234 365 1 370 163 -0.96 0.012 12
31 234 366 1 435 97 0.01 0.012 12
31 234 367 1 410 84 -0.03 0.012 12
31 258 368 1 451 -20 0.39 0.012 20
31 258 369 1 487 13 -0.42 0.012 20
31 258 370 0 453 7 -0.53 0.012 20
32 191 371 0 470 100 0.01 0.261 9
32 204 372 1 488 61 0.6 0.261 18
32 204 373 1 561 3 1.06 0.261 18
32 252 374 1 452 92 0.49 0.261 24
32 252 375 0 516 32 -0.5 0.261 24
32 252 376 1 470 68 0.54 0.261 24
32 252 377 1 515 56 -0.36 0.261 24
32 252 378 0 492 74 -0.74 0.261 24
32 252 379 1 529 -12 -0.03 0.261 24
33 26 380 1 398 65 -0.12 0.047 19
33 26 381 1 453 49 -0.72 0.047 19
33 26 382 1 523 47 -0.29 0.047 19
33 26 383 1 440 94 -0.03 0.047 19
33 26 384 0 419 102 0.01 0.047 19
33 26 385 0 395 103 -0.09 0.047 19
33 26 386 0 483 32 -1.17 0.047 19
33 26 387 1 439 100 0.6 0.047 19
33 26 388 1 498 53 1.32 0.047 19
33 26 389 1 478 96 0.99 0.047 19
33 32 390 0 508 -20 -0.4 0.047 1
33 32 391 1 496 29 1.17 0.047 1
33 32 392 0 448 101 -0.31 0.047 1
33 32 393 1 483 12 -0.03 0.047 1
33 88 394 0 476 27 0.2 0.047 2
33 88 395 1 485 16 0.08 0.047 2
33 100 396 1 443 39 -1.32 0.047 19
33 229 397 0 423 62 -0.4 0.047 3
33 229 398 0 380 118 -0.01 0.047 3
33 229 399 1 395 137 0.06 0.047 3
33 229 400 0 454 58 2.17 0.047 3
33 229 401 0 393 57 0.55 0.047 3
34 2 402 0 453 60 -0.41 0.303 2
34 2 403 0 472 52 -1.61 0.303 2
34 2 404 1 437 85 0.55 0.303 2
34 188 405 1 475 56 0.04 0.303 7
34 188 406 0 412 41 -1.43 0.303 7
34 188 407 1 423 73 -1.43 0.303 7
34 188 408 0 439 -12 -0.83 0.303 7
35 56 409 1 422 44 -0.97 0.13 3
35 56 410 1 507 10 -0.49 0.13 3
35 56 411 0 483 -7 -0.62 0.13 3
35 56 412 1 499 48 -1.01 0.13 3
35 56 413 1 478 55 0.39 0.13 3
35 122 414 0 456 53 -0.31 0.13 10
35 122 415 0 494 8 -0.85 0.13 10
35 122 416 1 480 54 -0.52 0.13 10
35 122 417 0 551 7 -0.27 0.13 10
35 122 418 0 446 26 -1.13 0.13 10
35 122 419 0 476 34 -0.17 0.13 10
36 63 420 1 500 31 -0.18 0.088 1
36 63 421 1 500 80 -0.16 0.088 1
36 180 422 1 446 77 0.54 0.088 14
36 180 423 0 445 60 1.07 0.088 14
36 180 424 1 436 88 -0.84 0.088 14
36 180 425 1 504 76 -0.5 0.088 14
36 180 426 0 420 88 -0.35 0.088 14
36 180 427 1 495 76 -0.27 0.088 14
37 103 428 1 448 37 -0.02 0.249 9
37 103 429 1 465 5 -0.44 0.249 9
37 103 430 1 473 18 -0.48 0.249 9
37 125 431 0 350 136 -0.35 0.249 28
37 125 432 1 429 65 0.5 0.249 28
37 125 433 0 450 53 -0.51 0.249 28
37 125 434 0 440 48 0.11 0.249 28
37 210 435 1 407 74 -1.02 0.249 1
37 210 436 1 438 80 0.21 0.249 1
37 210 437 1 434 6 -0.28 0.249 1
37 249 438 0 452 39 0.4 0.249 5
38 16 439 1 477 10 0.26 0.17 2
38 16 440 0 502 61 0.37 0.17 2
38 16 441 0 470 32 -0.37 0.17 2
38 16 442 0 475 77 -0.38 0.17 2
38 16 443 1 437 57 1.34 0.17 2
38 16 444 0 359 99 0.28 0.17 2
38 309 445 0 441 9 1.26 0.17 14
38 309 446 0 436 51 0.07 0.17 14
38 309 447 0 494 34 -0.9 0.17 14
39 79 448 0 544 -34 -0.66 0.123 2
39 79 449 0 483 28 -0.6 0.123 2
39 79 450 1 516 74 -0.62 0.123 2
39 79 451 0 545 -22 -0.17 0.123 2
39 79 452 0 451 45 -0.39 0.123 2
39 198 453 1 471 21 -0.86 0.123 2
39 198 454 1 511 0 -0.82 0.123 2
39 274 455 1 490 48 -1.12 0.123 20
39 288 456 1 592 -11 -0.29 0.123 7
39 288 457 0 424 85 0.16 0.123 7
39 288 458 0 566 52 -0.5 0.123 7
39 288 459 0 450 41 -0.61 0.123 7
40 9 460 0 475 16 -0.36 0.279 1
40 9 461 1 526 8 -0.52 0.279 1
40 9 462 0 448 -51 -0.72 0.279 1
40 257 463 0 467 87 -0.57 0.279 6
40 257 464 0 525 64 -0.62 0.279 6
40 257 465 0 491 24 -0.22 0.279 6
40 257 466 1 464 85 -0.27 0.279 6
41 18 467 0 446 65 1.2 0.036 28
41 50 468 0 431 91 -0.41 0.036 29
41 50 469 0 450 58 0.25 0.036 29
41 50 470 1 474 77 0.69 0.036 29
41 50 471 0 543 0 0.17 0.036 29
41 142 472 0 473 88 -0.38 0.036 11
41 142 473 0 452 70 -0.48 0.036 11
41 142 474 0 498 103 -0.39 0.036 11
41 142 475 1 472 67 -1.11 0.036 11
42 54 476 1 459 76 -0.03 0.157 0
42 54 477 0 523 33 0.41 0.157 0
42 54 478 1 506 48 -0.65 0.157 0
42 54 479 1 481 59 0.3 0.157 0
42 70 480 1 463 50 0.63 0.157 20
42 207 481 1 484 77 -0.94 0.157 6
42 207 482 1 430 33 -0.93 0.157 6
42 207 483 1 463 40 -1.02 0.157 6
42 207 484 1 475 55 0.05 0.157 6
42 207 485 0 483 47 -1.24 0.157 6
42 207 486 1 424 62 -0.92 0.157 6
42 296 487 0 461 74 0.43 0.157 14
42 296 488 1 468 39 -0.2 0.157 14
42 296 489 1 415 99 0 0.157 14
42 296 490 1 432 59 0.1 0.157 14
42 296 491 0 499 54 -0.14 0.157 14
42 296 492 0 453 91 -0.33 0.157 14
42 296 493 0 508 67 1.66 0.157 14
43 220 494 1 470 25 0.49 0.179 2
43 220 495 0 471 70 0.26 0.179 2
43 227 496 1 517 37 -0.82 0.179 1
43 227 497 1 422 90 -1.35 0.179 1
44 176 498 0 482 65 0.97 0.347 20
44 176 499 1 414 86 -0.04 0.347 20
44 176 500 1 435 79 -0.03 0.347 20
44 176 501 1 465 71 0.43 0.347 20
44 219 502 1 499 36 0.68 0.347 4
44 219 503 0 423 98 -0.32 0.347 4
44 219 504 1 448 68 -0.03 0.347 4
44 219 505 0 483 34 -1.11 0.347 4
44 246 506 0 443 126 -0.3 0.347 21
44 246 507 1 523 25 0.54 0.347 21
44 246 508 1 417 70 -0.7 0.347 21
44 246 509 0 432 115 -0.03 0.347 21
44 268 510 0 547 -3 0.54 0.347 11
44 268 511 1 477 80 1.21 0.347 11
44 268 512 0 420 97 -0.03 0.347 11
44 268 513 0 509 67 0.83 0.347 11
44 268 514 1 494 59 -0.47 0.347 11
45 300 515 1 503 8 -0.04 0.164 25
45 300 516 0 461 87 0.29 0.164 25
45 300 517 0 469 71 -1.28 0.164 25
45 300 518 0 482 90 -0.96 0.164 25
45 300 519 1 459 77 -0.67 0.164 25
46 19 520 0 381 97 -0.16 0.238 10
46 19 521 0 464 62 -0.74 0.238 10
46 69 522 0 484 39 1.09 0.238 11
46 69 523 0 470 28 0.51 0.238 11
46 69 524 1 502 47 -0.08 0.238 11
46 71 525 1 441 72 -0.36 0.238 22
46 71 526 0 459 85 0.83 0.238 22
46 133 527 0 420 81 -0.57 0.238 2
46 133 528 1 474 34 -0.12 0.238 2
46 133 529 1 461 36 0.35 0.238 2
46 240 530 0 481 16 0.07 0.238 18
46 240 531 1 438 34 -0.83 0.238 18
46 240 532 1 469 71 -0.58 0.238 18
47 61 533 0 413 88 -0.74 0.257 2
47 61 534 1 462 14 -0.81 0.257 2
47 82 535 0 488 91 0.5 0.257 25
47 82 536 0 400 57 0.07 0.257 25
47 82 537 0 442 7 -0.04 0.257 25
47 82 538 0 485 54 0.05 0.257 25
47 82 539 0 290 253 -0.4 0.257 25
47 155 540 0 438 70 -0.11 0.257 2
47 155 541 1 446 52 -0.22 0.257 2
47 155 542 1 501 52 1.11 0.257 2
48 153 543 0 421 68 -0.03 0.159 5
48 153 544 1 418 40 -0.43 0.159 5
48 153 545 1 430 25 -0.56 0.159 5
48 153 546 1 464 61 1.91 0.159 5
48 153 547 0 458 36 1.32 0.159 5
48 153 548 1 391 64 -1.35 0.159 5
49 105 549 1 430 80 -0.5 0.142 20
49 105 550 0 409 144 0.26 0.142 20
49 105 551 0 459 48 0.03 0.142 20
49 105 552 0 462 142 0.71 0.142 20
49 212 553 0 480 3 -0.36 0.142 6
49 212 554 0 503 77 -0.03 0.142 6
49 212 555 0 458 66 -0.23 0.142 6
49 212 556 0 459 92 1.84 0.142 6
50 25 557 0 521 2 0.06 0.044 6
50 25 558 1 507 70 -0.41 0.044 6
50 25 559 0 506 63 1.23 0.044 6
50 25 560 1 502 13 -0.28 0.044 6
50 127 561 0 477 46 -0.01 0.044 18
50 127 562 0 470 85 -0.64 0.044 18
50 127 563 1 506 31 -0.6 0.044 18
50 289 564 0 553 20 1.23 0.044 7
50 289 565 1 469 26 0.97 0.044 7
50 289 566 1 483 95 -0.22 0.044 7
50 289 567 0 479 26 -0.4 0.044 7
50 289 568 0 494 50 -0.02 0.044 7
51 59 569 1 472 62 -0.03 0.096 15
51 59 570 1 420 84 -0.09 0.096 15
51 59 571 0 454 35 0.2 0.096 15
51 59 572 0 495 45 -1.05 0.096 15
52 255 573 1 521 48 0.82 0.138 7
52 255 574 0 524 65 1.16 0.138 7
52 255 575 1 521 43 0.92 0.138 7
52 255 576 1 496 32 0.63 0.138 7
52 255 577 0 498 49 0.49 0.138 7
52 255 578 1 462 61 0.4 0.138 7
52 270 579 1 422 35 -1.03 0.138 30
52 270 580 0 428 30 -1.51 0.138 30
52 270 581 1 434 15 -0.53 0.138 30
53 14 582 1 489 47 -0.03 0.101 27
53 14 583 1 434 65 -0.51 0.101 27
53 14 584 1 394 112 -0.03 0.101 27
53 14 585 0 488 142 -0.28 0.101 27
53 149 586 1 512 14 -0.99 0.101 32
53 149 587 0 520 46 -0.2 0.101 32
53 149 588 0 491 61 -0.03 0.101 32
53 149 589 1 460 91 -0.05 0.101 32
54 259 590 0 471 48 0.06 0.137 5
54 259 591 0 516 29 2.04 0.137 5
54 259 592 0 510 31 1.86 0.137 5
54 259 593 0 457 60 0.12 0.137 5
54 259 594 0 504 54 1.79 0.137 5
54 259 595 0 544 23 1.79 0.137 5
54 259 596 1 506 5 -0.71 0.137 5
54 259 597 1 451 32 2.93 0.137 5
54 301 598 0 515 16 -0.33 0.137 2
54 301 599 0 504 64 0.12 0.137 2
55 24 600 1 497 20 -0.18 0.065 20
55 35 601 0 476 6 -0.62 0.065 24
55 35 602 1 525 55 -0.03 0.065 24
55 35 603 0 472 113 -1.28 0.065 24
55 35 604 0 427 67 1.09 0.065 24
55 117 605 1 446 62 0.45 0.065 2
55 117 606 1 465 59 0.09 0.065 2
55 117 607 0 498 46 0.17 0.065 2
55 117 608 0 495 36 -1.02 0.065 2
55 117 609 0 491 18 -0.32 0.065 2
55 117 610 1 463 54 -1.15 0.065 2
55 117 611 0 478 76 -0.8 0.065 2
55 117 612 1 415 84 -0.24 0.065 2
56 3 613 1 506 -4 -0.43 0.04 13
56 3 614 1 516 18 -0.26 0.04 13
56 3 615 0 456 33 -0.51 0.04 13
56 168 616 1 511 122 1.54 0.04 13
